"","congress","speaker","position","party","date"
"246","1992_duesseldorf","Ursula Körtner",0.0637500127235258,"CDU","10/26/1992"
"247","1992_duesseldorf","Uwe Greve",0.363474202702562,"CDU","10/26/1992"
"248","1992_duesseldorf","Uwe Lehmann-Brauns",0.736250317146785,"CDU","10/26/1992"
"249","1992_duesseldorf","Volker Bandmann",0.666385952796418,"CDU","10/26/1992"
"250","1992_duesseldorf","Volker Rühe",0.715158152695542,"CDU","10/26/1992"
"251","1992_duesseldorf","Volker Sandmann",-0.158056425063567,"CDU","10/26/1992"
"252","1992_duesseldorf","Walter Hostert",0.221043763952582,"CDU","10/26/1992"
"253","1992_duesseldorf","Walter Neuhaus",1.02496222835458,"CDU","10/26/1992"
"254","1992_duesseldorf","Werner Münch",0.326343967397074,"CDU","10/26/1992"
"255","1992_duesseldorf","Werner Thomas",-2.14258791409355,"CDU","10/26/1992"
"256","1992_duesseldorf","Wilfried Martens",0.962681357717173,"CDU","10/26/1992"
"257","1992_duesseldorf","Winfried Pinger",-0.0136875879478872,"CDU","10/26/1992"
"258","1992_duesseldorf","Wolfgang Schäuble",0.634439968289955,"CDU","10/26/1992"
"259","1992_duesseldorf","Wolfgang Zöllick",0.0697073405249246,"CDU","10/26/1992"
"260","1993_berlin","Albert Roer",-0.309363196522096,"CDU","9/12/1993"
"261","1993_berlin","Alfons Vogtei",-1.34739093174484,"CDU","9/12/1993"
"262","1993_berlin","Alfred Dregger",0.871309595181678,"CDU","9/12/1993"
"263","1993_berlin","Angela Merkel",1.12855945881527,"CDU","9/12/1993"
"264","1993_berlin","Angelika Volquaru",-1.53627577674413,"CDU","9/12/1993"
"265","1993_berlin","Beatrix Philip",-0.732010804055984,"CDU","9/12/1993"
"266","1993_berlin","Bernd Neumann",-2.52418558985834,"CDU","9/12/1993"
"267","1993_berlin","Bernd Schneider",-1.16542703393958,"CDU","9/12/1993"
"268","1993_berlin","Berndt Seite",1.07379423458373,"CDU","9/12/1993"
"269","1993_berlin","Bernhard Sälzer",0.991927735070867,"CDU","9/12/1993"
"270","1993_berlin","Bernhard Vogel",1.13498824572214,"CDU","9/12/1993"
"271","1993_berlin","Bruno Orth",-0.635954960379219,"CDU","9/12/1993"
"272","1993_berlin","Burkhard Remmers",-0.312796313369192,"CDU","9/12/1993"
